"Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly c 1 2 3"
"Frequency: Quarterly"
"Table: 34-10-0135-01 (formerly CANSIM 027-0008)"
"Release date: 2025-10-17"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Housing estimates","Housing starts",,,,,
,,"Type of unit","Total units","Single-detached","Multiples","Semi-detached","Row","Apartment and other unit type"
"Geography","Seasonal adjustment","Reference period"
"Canada",,,"Units",,,,,
,,"Q2 2022","18,099","3,718","14,381","1,027","455","12,899"
,,"Q3 2022","13,780","3,523","10,257","756","237","9,264"
,,"Q4 2022","13,410","3,188","10,222","649","200","9,373"
,,"Q1 2023","6,957","1,240","5,717","318","74","5,325"
,,"Q2 2023","9,687","2,678","7,009","500","176","6,333"
,,"Q3 2023","11,870","2,739","9,131","453","196","8,482"
,,"Q4 2023","10,398","1,944","8,454","449","176","7,829"
,,"Q1 2024","8,300","1,349","6,951","431","136","6,384"
,,"Q2 2024","14,911","2,409","12,502","545","293","11,664"
,,"Q3 2024","9,688","1,250","8,438","372","124","7,942"
,,"Q4 2024","15,814","3,550","12,264","652","288","11,324"
,,"Q1 2025","10,588","850","9,738","434","324","8,980"
,,"Q2 2025","17,843","2,876","14,967","785","480","13,702"
,,"Q3 2025","14,548","3,409","11,139","546","389","10,204"
"Ontario",,"Q1 2010","11,255","5,470","5,785","506","1,929","3,350"
,,"Q2 2010","17,082","8,065","9,017","852","2,712","5,453"
,,"Q3 2010","16,598","7,571","9,027","833","3,045","5,149"
,,"Q4 2010","15,498","6,983","8,515","815","2,569","5,131"
,,"Q1 2011","12,629","4,250","8,379","606","1,391","6,382"
,,"Q2 2011","18,457","7,194","11,263","867","2,400","7,996"
,,"Q3 2011","18,885","7,774","11,111","759","2,434","7,918"
,,"Q4 2011","17,850","7,666","10,184","910","3,063","6,211"
,,"Q1 2012","16,281","4,212","12,069","776","2,627","8,666"
,,"Q2 2012","21,389","7,211","14,178","770","2,637","10,771"
,,"Q3 2012","20,800","7,216","13,584","920","3,097","9,567"
,,"Q4 2012","18,272","6,928","11,344","931","2,216","8,197"
,,"Q1 2013","11,192","3,593","7,599","572","1,617","5,410"
,,"Q2 2013","15,767","6,699","9,068","946","2,531","5,591"
,,"Q3 2013","17,532","6,705","10,827","844","2,850","7,133"
,,"Q4 2013","16,594","6,273","10,321","754","2,429","7,138"
,,"Q1 2014","10,828","3,106","7,722","359","1,604","5,759"
,,"Q2 2014","17,039","6,801","10,238","898","3,103","6,237"
,,"Q3 2014","15,989","7,334","8,655","854","2,602","5,199"
,,"Q4 2014","15,278","6,450","8,828","631","2,666","5,531"
,,"Q1 2015","11,382","2,567","8,815","310","1,044","7,461"
,,"Q2 2015","18,479","7,052","11,427","522","3,534","7,371"
,,"Q3 2015","21,259","7,738","13,521","636","2,621","10,264"
,,"Q4 2015","19,036","7,596","11,440","622","3,240","7,578"
,,"Q1 2016","14,789","4,389","10,400","318","1,816","8,266"
,,"Q2 2016","20,200","8,132","12,068","765","3,001","8,302"
